GAID,PlatformName,OtherName,Owner,Operator,PlatformType,LocationName,State,Latitude,Longitude,SpatialConfidence,Photo,Source,SourceDate,Comments
1,Cliff Head A,CHA,ROC Oil,AGR Asia Pacific Ltd,Normally Unmanned,Indian Ocean,WA,-29.46645833,114.8683417,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,GA sourced the information about this facility on 4 September 2014 directly from OTS.
2,Armada Claire,,,APACHE Energy Ltd (AEL),Manned ,North West Shelf,WA,-20.05869444,115.1919639,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,GA sourced the information about this facility on 15 September 2014 directly from OTS.
3,Ningaloo Vision,NV,,APACHE Energy Ltd (AEL),Manned ,North West Shelf,WA,-21.40344167,114.0881528,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,GA sourced the information about this facility on 15 September 2014 directly from OTS.
4,Reindeer,,,APACHE Energy Ltd (AEL),Normally Unmanned,North West Shelf,WA,-20.024125,116.3096944,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,GA sourced the information about this facility on 16 September 2014 directly from OTS.
5,Stag A,SA,,APACHE Energy Ltd (AEL),Manned ,North West Shelf,WA,-20.289975,116.275275,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,GA sourced the information about this facility on 16 September 2014 directly from OTS.
6,Varanus Island Marine Export Terminal,VIMET,,APACHE Energy Ltd (AEL),Normally Unmanned ,North West Shelf,WA,-20.62852778,115.6085333,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,GA sourced the information about this facility on 16 September 2014 directly from OTS.
7,John Brookes,,,APACHE Energy Ltd (AEL),Normally Unmanned ,North West Shelf,WA,-20.44734722,115.1201722,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 16 September 2014 directly from OTS.
This platform is part of the Varanus Island Offshore Facility Network (VIOFN) "
8,Wonnich,,,APACHE Energy Ltd (AEL),Normally Unmanned ,North West Shelf,WA,-20.49958056,115.4290333,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 16 September 2014 directly from OTS.
This platform is part of the Varanus Island Offshore Facility Network (VIOFN) "
9,Campbell,,,APACHE Energy Ltd (AEL),Normally Unmanned ,North West Shelf,WA,-20.41409722,115.7302056,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 16 September 2014 directly from OTS.
This platform is part of the Varanus Island Offshore Facility Network (VIOFN) "
10,Sinbad,,,APACHE Energy Ltd (AEL),Normally Unmanned ,North West Shelf,WA,-20.48333333,115.7121389,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 16 September 2014 directly from OTS.
This platform is part of the Varanus Island Offshore Facility Network (VIOFN) "
11,Linda,,,APACHE Energy Ltd (AEL),Normally Unmanned ,North West Shelf,WA,-20.555175,115.7088556,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 16 September 2014 directly from OTS.
This platform is part of the Varanus Island Offshore Facility Network (VIOFN) "
12,Harriet A,HA,,APACHE Energy Ltd (AEL),Manned ,North West Shelf,WA,-20.60218889,115.6141611,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 16 September 2014 directly from OTS.
This platform is part of the Varanus Island Offshore Facility Network (VIOFN) "
13,Harriet B,,,APACHE Energy Ltd (AEL),Normally Unmanned ,North West Shelf,WA,-20.57520833,115.6375833,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 16 September 2014 directly from OTS.
This platform is part of the Varanus Island Offshore Facility Network (VIOFN) "
14,Harriet C,,,APACHE Energy Ltd (AEL),Normally Unmanned ,North West Shelf,WA,-20.589,115.6272222,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 16 September 2014 directly from OTS.
This platform is part of the Varanus Island Offshore Facility Network (VIOFN) "
15,Agincourt,,,APACHE Energy Ltd (AEL),Normally Unmanned ,North West Shelf,WA,-20.66877778,115.5143361,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 16 September 2014 directly from OTS.
This platform is part of the Varanus Island Offshore Facility Network (VIOFN) "
16,Simpson A,,,APACHE Energy Ltd (AEL),Normally Unmanned ,North West Shelf,WA,-20.67222778,115.5854972,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 16 September 2014 directly from OTS.
This platform is part of the Varanus Island Offshore Facility Network (VIOFN) "
17,Simpson B,,,APACHE Energy Ltd (AEL),Normally Unmanned ,North West Shelf,WA,-20.67337222,115.5848917,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 16 September 2014 directly from OTS.
This platform is part of the Varanus Island Offshore Facility Network (VIOFN) "
18,Gibson,,,APACHE Energy Ltd (AEL),Normally Unmanned ,North West Shelf,WA,-20.69929167,115.5643944,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 16 September 2014 directly from OTS.
This platform is part of the Varanus Island Offshore Facility Network (VIOFN) "
19,Victoria,,,APACHE Energy Ltd (AEL),Normally Unmanned ,North West Shelf,WA,-20.73951111,115.5716944,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 16 September 2014 directly from OTS.
This platform is part of the Varanus Island Offshore Facility Network (VIOFN) "
20,Twickenham,,,APACHE Energy Ltd (AEL),Normally Unmanned ,North West Shelf,WA,-20.755925,115.5049361,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 16 September 2014 directly from OTS.
This platform is part of the Varanus Island Offshore Facility Network (VIOFN) "
21,Double Island,,,APACHE Energy Ltd (AEL),Normally Unmanned ,North West Shelf,WA,-20.75589444,115.5055194,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 16 September 2014 directly from OTS.
This platform is part of the Varanus Island Offshore Facility Network (VIOFN) "
22,Four Rainbow,FR,,Australian FPSO Management P/L (AFPSOM),Manned ,North West Shelf,WA,-20.91136111,114.90585,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,GA sourced the information about this facility on 17 September 2014 directly from OTS.
23,Pyrenees Venture,PV,BHPBILLITON PETROLEUM (BHPBP),BHPBILLITON PETROLEUM (BHPBP),Manned ,North West Shelf,WA,-21.54113889,114.1162778,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,GA sourced the information about this facility on 17 September 2014 directly from OTS.
24,Stybarrow Venture,SV,,BHPBILLITON PETROLEUM (BHPBP),Manned ,North West Shelf,WA,-21.44916667,113.8297222,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,GA sourced the information about this facility on 17 September 2014 directly from OTS.
25,Barrow Island Marine Export Terminal,BIMET,,CHEVRON Australia P/L (CAPL),Normally Unmanned ,North West Shelf,WA,-20.81583333,115.5525,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,GA sourced the information about this facility on 17 September 2014 directly from OTS.
26,Thevenard Island Marine Export Terminal ,TIMET,,CHEVRON Australia P/L (CAPL),Normally Unmanned ,North West Shelf,WA,-21.405,115.0466667,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,GA sourced the information about this facility on 17 September 2014 directly from OTS.
27,Blacktip WHP,,,ENI Australia BV,Normally Unmanned ,North West Shelf,WA,-13.89489028,128.4841217,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,GA sourced the information about this facility on 17 September 2014 directly from OTS.
28,Blacktip Single Point Mooring (SPM) Condensate Export Buoy,,,ENI Australia BV,Normally Unmanned ,North West Shelf,WA,-14.24121667,129.35055,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,GA sourced the information about this facility on 17 September 2014 directly from OTS.
29,Barracouta,,,ESSO Australia P/L,Manned ,Bass Strait,VIC,-38.29651194,147.6759719,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
30,Bream A,,,ESSO Australia P/L,Manned ,Bass Strait,VIC,-38.49965417,147.7722175,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
31,Bream B,,,ESSO Australia P/L,Unmanned,Bass Strait,VIC,-38.51844139,147.8392736,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
32,Cobia,,,ESSO Australia P/L,Manned ,Bass Strait,VIC,-38.44929444,148.3090181,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
